Date,Unemployment Rate,Unemployment Rate - Men,Unemployment Rate - Women,Labor Force - Men,Labor Force - Women
1948-01-01,3.4,3.4,3.3,43214.0,16881.0
1948-02-01,3.8,3.6,4.5,43400.0,17124.0
1948-03-01,4.0,3.8,4.4,43080.0,16990.0
1948-04-01,3.9,3.8,4.3,43215.0,17462.0
1948-05-01,3.5,3.5,3.7,43002.0,16970.0
1948-06-01,3.6,3.3,4.3,43257.0,17700.0
1948-07-01,3.6,3.4,4.2,43429.0,17752.0
1948-08-01,3.9,3.6,4.4,43403.0,17403.0
1948-09-01,3.8,3.7,4.1,43240.0,17575.0
1948-10-01,3.7,3.6,4.0,43396.0,17250.0
1948-11-01,3.8,3.7,3.9,43337.0,17365.0
1948-12-01,4.0,3.9,4.2,43544.0,17625.0
1949-01-01,4.3,4.2,4.4,43343.0,17428.0
1949-02-01,4.7,4.6,4.8,43396.0,17661.0
1949-03-01,5.0,5.1,4.6,43393.0,17680.0
1949-04-01,5.3,5.3,5.5,43455.0,17552.0
1949-05-01,6.1,6.1,6.0,43505.0,17754.0
1949-06-01,6.2,6.2,6.2,43371.0,17577.0
1949-07-01,6.7,6.7,6.8,43368.0,17933.0
1949-08-01,6.8,6.8,6.8,43602.0,17988.0
1949-09-01,6.6,6.5,6.8,43681.0,17952.0
1949-10-01,7.9,8.4,6.8,44107.0,18078.0
1949-11-01,6.4,6.5,6.3,43861.0,18144.0
1949-12-01,6.6,6.5,6.8,43821.0,18087.0
1950-01-01,6.5,6.4,6.9,43633.0,18028.0
1950-02-01,6.4,6.2,6.8,43629.0,18058.0
1950-03-01,6.3,6.1,6.7,43622.0,17982.0
1950-04-01,5.8,5.9,5.4,43811.0,18347.0
1950-05-01,5.5,5.4,5.8,43888.0,18195.0
1950-06-01,5.4,5.1,6.1,43855.0,18564.0
1950-07-01,5.0,4.8,5.6,43836.0,18285.0
1950-08-01,4.5,4.3,4.8,44054.0,18542.0
1950-09-01,4.4,4.2,5.1,43988.0,18361.0
1950-10-01,4.2,3.9,4.8,43762.0,18666.0
1950-11-01,4.2,3.7,5.2,43524.0,18762.0
1950-12-01,4.3,3.8,5.2,43396.0,18672.0
1951-01-01,3.7,3.3,4.6,43193.0,18748.0
1951-02-01,3.4,3.0,4.5,43108.0,18670.0
1951-03-01,3.4,2.7,4.9,43373.0,19153.0
1951-04-01,3.1,2.5,4.4,42966.0,18842.0
1951-05-01,3.0,2.5,4.2,43031.0,19013.0
1951-06-01,3.2,2.8,4.3,42858.0,18757.0
1951-07-01,3.1,2.7,4.0,42786.0,19320.0
1951-08-01,3.1,2.8,3.9,42879.0,19048.0
1951-09-01,3.3,2.8,4.6,42827.0,18953.0
1951-10-01,3.5,3.1,4.5,43038.0,19166.0
1951-11-01,3.5,3.1,4.5,42906.0,19108.0
1951-12-01,3.1,2.7,4.2,43091.0,19366.0
1952-01-01,3.2,2.8,3.9,43084.0,19348.0
1952-02-01,3.1,2.8,3.8,43129.0,19290.0
1952-03-01,2.9,2.7,3.5,42843.0,18878.0
1952-04-01,2.9,2.7,3.5,42734.0,18986.0
1952-05-01,3.0,2.6,3.9,42823.0,19235.0
1952-06-01,3.0,2.8,3.5,42877.0,19226.0
1952-07-01,3.2,3.0,3.7,42871.0,19091.0
1952-08-01,3.4,3.2,3.8,42718.0,19159.0
1952-09-01,3.1,3.0,3.3,42763.0,19694.0
1952-10-01,3.0,2.6,3.8,42678.0,19293.0
1952-11-01,2.8,2.5,3.4,42762.0,19729.0
1952-12-01,2.7,2.5,3.1,43177.0,19444.0
1953-01-01,2.9,2.8,3.1,43754.0,19685.0
1953-02-01,2.6,2.4,2.9,43933.0,19587.0
1953-03-01,2.6,2.3,3.2,43910.0,19747.0
1953-04-01,2.7,2.6,3.0,43713.0,19454.0
1953-05-01,2.5,2.5,2.7,43518.0,19097.0
1953-06-01,2.5,2.4,2.8,43532.0,19531.0
1953-07-01,2.6,2.5,2.9,43569.0,19488.0
1953-08-01,2.7,2.5,3.0,43515.0,19301.0
1953-09-01,2.9,2.7,3.4,43386.0,19341.0
1953-10-01,3.1,2.9,3.6,43454.0,19413.0
1953-11-01,3.5,3.4,3.7,43789.0,19160.0
1953-12-01,4.5,4.2,5.1,43791.0,19004.0
1954-01-01,4.9,4.4,5.9,43871.0,19230.0
1954-02-01,5.2,4.9,5.9,44135.0,19859.0
1954-03-01,5.7,5.3,6.4,43854.0,19939.0
1954-04-01,5.9,5.6,6.4,44081.0,19853.0
1954-05-01,5.9,5.7,6.3,43993.0,19682.0
1954-06-01,5.6,5.3,6.2,43798.0,19545.0
1954-07-01,5.8,5.6,6.3,43896.0,19406.0
1954-08-01,6.0,6.0,6.2,44185.0,19522.0
1954-09-01,6.1,6.0,6.4,44299.0,19910.0
1954-10-01,5.7,5.7,5.8,44082.0,19854.0
1954-11-01,5.3,5.2,5.6,43983.0,19776.0
1954-12-01,5.0,5.0,5.2,43813.0,19499.0
1955-01-01,4.9,4.8,5.3,44040.0,19870.0
1955-02-01,4.7,4.5,5.0,43923.0,19773.0
1955-03-01,4.6,4.5,4.8,44096.0,19786.0
1955-04-01,4.7,4.7,4.7,44287.0,20277.0
1955-05-01,4.3,4.0,4.7,44283.0,20098.0
1955-06-01,4.2,3.9,4.7,44218.0,20264.0
1955-07-01,4.0,3.8,4.6,44523.0,20622.0
1955-08-01,4.2,3.9,4.9,44566.0,21015.0
1955-09-01,4.1,3.7,5.0,44709.0,20919.0
1955-10-01,4.3,3.9,5.1,44818.0,21003.0
1955-11-01,4.2,3.9,4.9,44925.0,21112.0
1955-12-01,4.2,3.8,4.9,45028.0,21417.0
1956-01-01,4.0,3.8,4.5,45177.0,21242.0
1956-02-01,3.9,3.8,4.3,45068.0,21056.0
1956-03-01,4.2,3.8,5.1,45073.0,21102.0
1956-04-01,4.0,3.6,4.8,45010.0,21254.0
1956-05-01,4.3,3.9,5.0,45155.0,21567.0
1956-06-01,4.3,4.0,5.1,45182.0,21520.0
1956-07-01,4.4,3.8,5.7,45110.0,21642.0
1956-08-01,4.1,3.7,4.8,45086.0,21587.0
